artist_id,Names,nationality,style,birth,death
857,Martin Johnson Heade,American,Hudson River School,1819,1904
858,Paul Ranson Ranson,French,Nabi,1864,1909
859,Jean Discart Discart,French,Orientalist,1856,1944
860,Jan Portielje Portielje,Dutch,Classicist,1829,1908
861,Jan Porcellis Porcellis,Flemish,Marine Art,1580,1632
862,Charles Francois Daubigny,French,Naturalist,1817,1878
863,Oswald Achenbach Achenbach,German,Realist,1827,1905
864,Arthur Bowen Davies,American,Symbolist,1862,1928
865,Buonarroti Michelangelo Michelangelo,Italian,High Renaissance,1475,1564
866,Theo Rysselberghe Van Rysselberghe,Belgian,Pointillist,1862,1926
867,Cornelis Troost Troost,Dutch,Rococo,1696,1750
868,Joshua Johnson Johnson,American,Folk,1763,1824
869,Pierre Auguste Cot,French,Classicist,1837,1883
870,Michelangelo Merisi Da Caravaggio,Italian,Baroque,1571,1610
871,Konstantin A Korovin,Russian,Impressionist,1861,1939
872,Paul Cézanne Cezanne,French,Post-Impressionist,1839,1906
873,Paul Klee Klee,Swiss,Expressionist,1879,1940
874,Jacob Cornelisz Van Oostsanen,Dutch,Renaissance,1470,1533
875,Jules Bastien Lepage,French,Realist,1848,1884
876,Salvador Dalí Dali,Spanish,Surrealist,1901,1989
877,Edgar William William,American,Colonial,1870,1918
878,Chaim Soutine Soutine,French,Expressionist,1893,1943
879,Jean Etienne Liotard,Swiss,Mannerist,1702,1789
880,Robert William Vonnoh,American,Impressionist,1858,1933
881,Hendrick Avercamp Avercamp,Dutch,Baroque,1585,1634
882,Gaston Bussière Bussiere,French,Symbolist,1862,1928
883,Thomas Eakins Eakins,American,Realist,1844,1916
884,Otto Mueller Mueller,German,Expressionist,1874,1930
885,Lucas Cranach Cranach,German,Northern Renaissance,1472,1553
886,Paulus Potter Potter,Dutch,Baroque,1625,1654
887,Johan Barthold Jongkind,Dutch,Impressionist,1819,1891
888,John Vanderbank Vanderbank,English,Portraitist,1694,1739
889,Richard Ansdell Ansdell,English,Naturalist,1815,1885
890,Gabriele Münter Munter,German,Expressionist,1877,1962
891,Orazio Gentileschi Gentileschi,Italian,Baroque,1563,1639
892,Nicholas Pocock Pocock,English,Marine Art,1741,1821
893,Julian Alden Weir,American,Impressionist,1852,1919
894,Jan Scorel Van Scorel,Dutch,Renaissance,1495,1562
895,Joaquin Sorolla Sorolla,Spanish,Impressionist,1863,1923
896,Anne Vallayer Coster,French,Rococo,1744,1818
897,Elisabeth Vigee Le Brun,French,Neoclassical,1755,1842
898,Joseph Mallord William Turner,English,Romantic,1775,1851
899,William Adolphe Bouguereau,French,Classicist,1825,1905
900,Francesco Guardi Guardi,Italian,Rococo,1712,1793
901,John French Sloan,American,Folk,1871,1951
902,John Constable Constable,English,Romantic,1776,1837
903,Guillaumin Guillaumin Armand,French,Impressionist,1841,1927
904,Friedrich Amerling Von Amerling,Austrian,Classicist,1803,1887
905,Max Pechstein Pechstein,German,Expressionist,1881,1955
906,Jean Louis Forain,French,Impressionist,1852,1931
907,Carl Larsson Larsson,Swiss,Post-Impressionist,1853,1919
908,Jean Antoine Watteau,French,Rococo,1684,1721
909,Jan Both Both,Dutch,Baroque,1610,1652
910,John William Godward,English,Classicist,1861,1922
911,Jean Frederic Bazille,French,Impressionist,1841,1870
912,Pierre Bonnard Bonnard,French,Nabi,1867,1947
913,Edward Burne Jones,English,Neoclassical,1833,1898
914,Cornelis Haarlem Van Haarlem,Dutch,Baroque,1562,1638
915,Daniel Ridgway Knight,American,Realist,1839,1924
916,Jean Baptiste Camille Corot,French,Romantic,1796,1875
917,Jan Toorop Toorop,Dutch,Symbolist,1858,1928
918,Rembrandt Peale Peale,American,Neoclassical,1778,1860
919,Edmund Charles Tarbell,American,Impressionist,1862,1938
920,Rembrandt Rijn Van Rijn,Dutch,Baroque,1606,1669
